mode,event,threshold,time,value
classical_finite_state,quality_below_0.7,0.7,76,0.69745275738
classical_finite_state,quality_below_0.5,0.5,,
classical_finite_state,reservoir_above_0.5,0.5,,
classical_finite_state,membrane_below_0.5,0.5,,
classical_finite_state,terrain_above_0.5,0.5,,
classical_finite_state,output_above_0.5,0.5,,
dephased_whole_state,quality_below_0.7,0.7,76,0.69745275738
dephased_whole_state,quality_below_0.5,0.5,,
dephased_whole_state,reservoir_above_0.5,0.5,,
dephased_whole_state,membrane_below_0.5,0.5,,
dephased_whole_state,terrain_above_0.5,0.5,,
dephased_whole_state,output_above_0.5,0.5,,
coherent_whole_state,quality_below_0.7,0.7,11,0.679689357542
coherent_whole_state,quality_below_0.5,0.5,26,0.497679506369
coherent_whole_state,reservoir_above_0.5,0.5,26,0.503778735714
coherent_whole_state,membrane_below_0.5,0.5,15,0.499954889225
coherent_whole_state,terrain_above_0.5,0.5,134,0.505770834589
coherent_whole_state,output_above_0.5,0.5,124,0.500937386383
