scenario,gamma,phase1_measurement_write,terrain_delta_end_phase1,terrain_delta_end_phase2,phase2_adaptive_positive_steps,phase3_adaptive_positive_steps,max_adaptive_chsh_hat_phase2,max_adaptive_chsh_hat_phase3,mean_adaptive_gate_phase2_arm2,mean_adaptive_gate_phase2_arm3,mean_adaptive_gate_phase3_arm2,mean_adaptive_gate_phase3_arm3,arm2_release_phase2,arm3_release_phase2,arm3_dev_pct_release_phase2,arm2_release_phase3,arm3_release_phase3,arm3_dev_pct_release_phase3,matched_replay_phase2_diff_vs_arm3,matched_replay_phase3_diff_vs_arm3,adaptive_loop_effect_beyond_bell_bound_arm2,post_write_adaptive_dynamics_quantum_specific,classification
normal_adaptive,1.0,0.0,0.0,0.0,0,0,0.034545898438,0.041015625,1.0,1.0,1.0,1.0,97.880476805788,97.880476805788,0.0,27.07564030413,27.07564030413,0.0,0.0,0.0,FALSE,FALSE,no adaptive loop effect beyond Bell-bound Arm2
normal_adaptive,0.75,0.0,0.0,0.0,0,0,0.54541015625,0.741088867188,1.0,1.0,1.0,1.0,97.880476805788,97.880476805788,0.0,27.07564030413,27.07564030413,0.0,0.0,0.0,FALSE,FALSE,no adaptive loop effect beyond Bell-bound Arm2
normal_adaptive,0.5,0.0,0.0,0.0,0,0,1.065246582031,1.450561523438,1.0,1.0,1.0,1.0,97.880476805788,97.880476805788,0.0,27.07564030413,27.07564030413,0.0,0.0,0.0,FALSE,FALSE,no adaptive loop effect beyond Bell-bound Arm2
normal_adaptive,0.25,0.0,0.0,0.0,0,295,1.591613769531,2.148376464844,1.0,1.0,1.0,1.004271531685,97.880476805788,97.880476805788,0.0,27.07564030413,27.081693826112,0.022357816526,0.0,0.0,FALSE,FALSE,no adaptive loop effect beyond Bell-bound Arm2
normal_adaptive,0.0,0.0,0.0,1.1436846e-05,21,395,2.122131347656,2.854553222656,1.0,1.0001123579,1.0,1.138249397964,97.880476805788,97.895471125206,0.015319009375,27.07564030413,28.47481137997,5.167637995348,0.0,0.0,FALSE,FALSE,no adaptive loop effect beyond Bell-bound Arm2
stress_adaptive,1.0,0.0,0.0,0.0,0,0,0.035278320312,0.038208007812,1.0,1.0,1.0,1.0,66.236923296537,66.236923296537,0.0,26.177106142156,26.177106142156,0.0,0.0,0.0,FALSE,FALSE,no adaptive loop effect beyond Bell-bound Arm2
stress_adaptive,0.75,0.0,0.0,0.0,0,0,0.722900390625,0.737487792969,1.0,1.0,1.0,1.0,66.236923296537,66.236923296537,0.0,26.177106142156,26.177106142156,0.0,0.0,0.0,FALSE,FALSE,no adaptive loop effect beyond Bell-bound Arm2
stress_adaptive,0.5,0.0,0.0,0.0,0,0,1.423583984375,1.45458984375,1.0,1.0,1.0,1.0,66.236923296537,66.236923296537,0.0,26.177106142156,26.177106142156,0.0,0.0,0.0,FALSE,FALSE,no adaptive loop effect beyond Bell-bound Arm2
stress_adaptive,0.25,0.365920065744,0.089582644259,0.002333283384,17,294,2.129211425781,2.145629882812,1.0,1.000167812516,1.0,1.004185725591,66.236923296537,67.19157147474,1.441262864716,26.177106142156,26.207462116828,0.115963829258,0.0,0.0,TRUE,FALSE,sampled CHSH terrain memory shifts later adaptive measurement gate; replay shows post-write dynamics follow terrain trace
stress_adaptive,0.0,11.462246519585,2.347411772406,0.043637733822,276,395,2.841491699219,2.84765625,1.0,1.041791923717,1.0,1.138418948431,66.236923296537,82.437362440533,24.458320733691,26.177106142156,27.988900709792,6.921294347039,0.0,0.0,TRUE,FALSE,sampled CHSH terrain memory shifts later adaptive measurement gate; replay shows post-write dynamics follow terrain trace
storage_adaptive,1.0,0.0,0.0,0.0,0,0,0.0361328125,0.033386230469,1.0,1.0,1.0,1.0,29.986584572102,29.986584572102,0.0,22.908946132179,22.908946132179,0.0,0.0,0.0,FALSE,FALSE,no adaptive loop effect beyond Bell-bound Arm2
storage_adaptive,0.75,0.0,0.0,0.0,0,0,0.538940429688,0.735046386719,1.0,1.0,1.0,1.0,29.986584572102,29.986584572102,0.0,22.908946132179,22.908946132179,0.0,0.0,0.0,FALSE,FALSE,no adaptive loop effect beyond Bell-bound Arm2
storage_adaptive,0.5,0.0,0.0,0.0,0,0,1.05419921875,1.443298339844,1.0,1.0,1.0,1.0,29.986584572102,29.986584572102,0.0,22.908946132179,22.908946132179,0.0,0.0,0.0,FALSE,FALSE,no adaptive loop effect beyond Bell-bound Arm2
storage_adaptive,0.25,0.0,0.0,0.0,0,282,1.564758300781,2.1484375,1.0,1.0,1.0,1.004131912544,29.986584572102,29.986584572102,0.0,22.908946132179,22.909567984109,0.00271445018,0.0,0.0,FALSE,FALSE,no adaptive loop effect beyond Bell-bound Arm2
storage_adaptive,0.0,0.0,0.0,0.0,0,381,2.076904296875,2.851501464844,1.0,1.0,1.0,1.133095173173,29.986584572102,29.986584572102,0.0,22.908946132179,23.11167910887,0.884951125736,0.0,0.0,FALSE,FALSE,no adaptive loop effect beyond Bell-bound Arm2
