scenario,gamma,classical_ceiling_release,quantum_release,dev_pct_vs_classical_ceiling,mean_chsh,max_chsh,violating_steps_post_burn,first_violation_step,mean_negativity,max_negativity,passes_chsh_violation,exceeds_classical_release_ceiling,quantum_specific_transport_effect
normal,1.0,57.953637264299,57.953637264299,0.0,0.0,0.0,0,,0.0,0.0,FALSE,FALSE,FALSE
normal,0.75,57.953637264299,57.953637264299,0.0,0.513436965351,0.529165768371,0,,0.0,0.0,FALSE,FALSE,FALSE
normal,0.5,57.953637264299,57.953637264299,0.0,1.026873930701,1.058331536742,0,,0.0,0.0,FALSE,FALSE,FALSE
normal,0.25,57.953637264299,57.953637264299,0.0,1.540310896052,1.587497305114,0,,0.024686197823,0.067439335303,FALSE,FALSE,FALSE
normal,0.0,57.953637264299,59.305638778716,2.332901916493,2.053747861403,2.116663073485,600,0,0.111015224532,0.17325244707,TRUE,TRUE,TRUE
stress,1.0,0.088574883309,0.088574883309,0.0,0.0,0.0,0,,0.0,0.0,FALSE,FALSE,FALSE
stress,0.75,0.088574883309,0.088574883309,0.0,0.707106781187,0.707106781187,0,,0.0,0.0,FALSE,FALSE,FALSE
stress,0.5,0.088574883309,0.088574883309,0.0,1.414213562373,1.414213562373,0,,0.125,0.125,FALSE,FALSE,FALSE
stress,0.25,0.088574883309,0.090259082241,1.901440757075,2.12132034356,2.12132034356,600,101,0.3125,0.3125,TRUE,TRUE,TRUE
stress,0.0,0.088574883309,0.114641784052,29.429223916653,2.828427124746,2.828427124746,600,0,0.5,0.5,TRUE,TRUE,TRUE
storage_heavy,1.0,31.100981683359,31.100981683359,0.0,0.0,0.0,0,,0.0,0.0,FALSE,FALSE,FALSE
storage_heavy,0.75,31.100981683359,31.100981683359,0.0,0.513436965351,0.529165768371,0,,0.0,0.0,FALSE,FALSE,FALSE
storage_heavy,0.5,31.100981683359,31.100981683359,0.0,1.026873930701,1.058331536742,0,,0.0,0.0,FALSE,FALSE,FALSE
storage_heavy,0.25,31.100981683359,31.100981683359,0.0,1.540310896052,1.587497305114,0,,0.024686197823,0.067439335303,FALSE,FALSE,FALSE
storage_heavy,0.0,31.100981683359,31.40587602852,0.980336724628,2.053747861403,2.116663073485,600,0,0.111015224532,0.17325244707,TRUE,TRUE,TRUE
