scenario,gamma,arm2_next_phase_release,arm3_next_phase_release,dev_pct_vs_arm2,max_chsh_phase1,violating_steps_phase1,first_violation_step_phase1,chsh_excess_total_phase1,measurement_terrain_write_phase1,terrain_end_phase1_arm2,terrain_end_phase1_arm3,terrain_delta_end_phase1,mean_road_boost_phase2_arm2,mean_road_boost_phase2_arm3,mean_quality_phase2_arm2,mean_quality_phase2_arm3,quantum_specific_feedback_effect,classification
normal_context,1.0,97.880476805788,97.880476805788,0.0,0.0,0,,0.0,0.0,0.342190109177,0.342190109177,0.0,1.699015750051,1.699015750051,0.911178319588,0.911178319588,FALSE,no CHSH-excess terrain feedback beyond Arm2
normal_context,0.75,97.880476805788,97.880476805788,0.0,0.508051156936,0,,0.0,0.0,0.342190109177,0.342190109177,0.0,1.699015750051,1.699015750051,0.911178319588,0.911178319588,FALSE,no CHSH-excess terrain feedback beyond Arm2
normal_context,0.5,97.880476805788,97.880476805788,0.0,1.016102313873,0,,0.0,0.0,0.342190109177,0.342190109177,0.0,1.699015750051,1.699015750051,0.911178319588,0.911178319588,FALSE,no CHSH-excess terrain feedback beyond Arm2
normal_context,0.25,97.880476805788,97.880476805788,0.0,1.524153470809,0,,0.0,0.0,0.342190109177,0.342190109177,0.0,1.699015750051,1.699015750051,0.911178319588,0.911178319588,FALSE,no CHSH-excess terrain feedback beyond Arm2
normal_context,0.0,97.880476805788,98.829104182991,0.969169141958,2.032204627745,400,0,5.30473420538,0.212189368215,0.342190109177,0.418129816408,0.075939707231,1.699015750051,1.715958694308,0.911178319588,0.911178319588,TRUE,CHSH-excess terrain feedback changes next-phase dynamics beyond Bell-bound Arm2
stress_context,1.0,66.236923296537,66.236923296537,0.0,0.0,0,,0.0,0.0,0.004561837224,0.004561837224,0.0,1.435235104173,1.435235104173,0.93693636528,0.93693636528,FALSE,no CHSH-excess terrain feedback beyond Arm2
stress_context,0.75,66.236923296537,66.236923296537,0.0,0.707106781187,0,,0.0,0.0,0.004561837224,0.004561837224,0.0,1.435235104173,1.435235104173,0.93693636528,0.93693636528,FALSE,no CHSH-excess terrain feedback beyond Arm2
stress_context,0.5,66.236923296537,66.236923296537,0.0,1.414213562373,0,,0.0,0.0,0.004561837224,0.004561837224,0.0,1.435235104173,1.435235104173,0.93693636528,0.93693636528,FALSE,no CHSH-excess terrain feedback beyond Arm2
stress_context,0.25,66.236923296537,69.84469588815,5.446769584182,2.12132034356,299,101,41.427599015643,1.657103960626,0.004561837224,0.389578234067,0.385016396843,1.435235104173,1.553788749211,0.93693636528,0.93693636528,TRUE,CHSH-excess terrain feedback changes next-phase dynamics beyond Bell-bound Arm2
stress_context,0.0,66.236923296537,80.40494980572,21.389922424015,2.828427124746,400,0,329.609091976796,13.184363679072,0.004561837224,2.650612528863,2.646050691639,1.435235104173,1.864159691013,0.93693636528,0.93693636528,TRUE,CHSH-excess terrain feedback changes next-phase dynamics beyond Bell-bound Arm2
storage_context,1.0,29.986584572102,29.986584572102,0.0,0.0,0,,0.0,0.0,0.149458229409,0.149458229409,0.0,1.297734216668,1.297734216668,0.911178319588,0.911178319588,FALSE,no CHSH-excess terrain feedback beyond Arm2
storage_context,0.75,29.986584572102,29.986584572102,0.0,0.508051156936,0,,0.0,0.0,0.149458229409,0.149458229409,0.0,1.297734216668,1.297734216668,0.911178319588,0.911178319588,FALSE,no CHSH-excess terrain feedback beyond Arm2
storage_context,0.5,29.986584572102,29.986584572102,0.0,1.016102313873,0,,0.0,0.0,0.149458229409,0.149458229409,0.0,1.297734216668,1.297734216668,0.911178319588,0.911178319588,FALSE,no CHSH-excess terrain feedback beyond Arm2
storage_context,0.25,29.986584572102,29.986584572102,0.0,1.524153470809,0,,0.0,0.0,0.149458229409,0.149458229409,0.0,1.297734216668,1.297734216668,0.911178319588,0.911178319588,FALSE,no CHSH-excess terrain feedback beyond Arm2
storage_context,0.0,29.986584572102,30.189539221536,0.676818158286,2.032204627745,400,0,5.30473420538,0.212189368215,0.149458229409,0.22539793664,0.075939707231,1.297734216668,1.317532713608,0.911178319588,0.911178319588,TRUE,CHSH-excess terrain feedback changes next-phase dynamics beyond Bell-bound Arm2
