scenario,gamma,shots_per_setting_per_step,confidence_margin_S,arm2_next_phase_release,arm3_next_phase_release,dev_pct_vs_arm2,max_chsh_true_phase1,max_chsh_hat_phase1,positive_sampled_steps_phase1,first_positive_sample_step_phase1,conservative_chsh_excess_total_phase1,measurement_terrain_write_phase1,terrain_end_phase1_arm2,terrain_end_phase1_arm3,terrain_delta_end_phase1,mean_road_boost_phase2_arm2,mean_road_boost_phase2_arm3,quantum_specific_sampled_feedback_effect,classification
normal_context,1.0,32768,0.093683293042,97.880476805788,97.880476805788,0.0,0.0,0.032470703125,0,,0.0,0.0,0.342190109177,0.342190109177,0.0,1.699015750051,1.699015750051,FALSE,no conservative sampled CHSH terrain feedback beyond Arm2
normal_context,0.75,32768,0.093683293042,97.880476805788,97.880476805788,0.0,0.508051156936,0.5361328125,0,,0.0,0.0,0.342190109177,0.342190109177,0.0,1.699015750051,1.699015750051,FALSE,no conservative sampled CHSH terrain feedback beyond Arm2
normal_context,0.5,32768,0.093683293042,97.880476805788,97.880476805788,0.0,1.016102313873,1.050537109375,0,,0.0,0.0,0.342190109177,0.342190109177,0.0,1.699015750051,1.699015750051,FALSE,no conservative sampled CHSH terrain feedback beyond Arm2
normal_context,0.25,32768,0.093683293042,97.880476805788,97.880476805788,0.0,1.524153470809,1.540832519531,0,,0.0,0.0,0.342190109177,0.342190109177,0.0,1.699015750051,1.699015750051,FALSE,no conservative sampled CHSH terrain feedback beyond Arm2
normal_context,0.0,32768,0.093683293042,97.880476805788,97.880476805788,0.0,2.032204627745,2.049926757812,0,,0.0,0.0,0.342190109177,0.342190109177,0.0,1.699015750051,1.699015750051,FALSE,no conservative sampled CHSH terrain feedback beyond Arm2
stress_context,1.0,32768,0.093683293042,66.236923296537,66.236923296537,0.0,0.0,0.034484863281,0,,0.0,0.0,0.004561837224,0.004561837224,0.0,1.435235104173,1.435235104173,FALSE,no conservative sampled CHSH terrain feedback beyond Arm2
stress_context,0.75,32768,0.093683293042,66.236923296537,66.236923296537,0.0,0.707106781187,0.733581542969,0,,0.0,0.0,0.004561837224,0.004561837224,0.0,1.435235104173,1.435235104173,FALSE,no conservative sampled CHSH terrain feedback beyond Arm2
stress_context,0.5,32768,0.093683293042,66.236923296537,66.236923296537,0.0,1.414213562373,1.443237304688,0,,0.0,0.0,0.004561837224,0.004561837224,0.0,1.435235104173,1.435235104173,FALSE,no conservative sampled CHSH terrain feedback beyond Arm2
stress_context,0.25,32768,0.093683293042,66.236923296537,67.189805047009,1.438596032316,2.12132034356,2.144775390625,273,125,9.148001643593,0.365920065744,0.004561837224,0.094144481483,0.089582644259,1.435235104173,1.467216369613,TRUE,sampled CHSH terrain feedback changes next-phase dynamics beyond Bell-bound Arm2
stress_context,0.0,32768,0.093683293042,66.236923296537,79.483352978179,19.998558239698,2.828427124746,2.84716796875,371,28,286.556162989621,11.462246519585,0.004561837224,2.35197360963,2.347411772406,1.435235104173,1.839035258357,TRUE,sampled CHSH terrain feedback changes next-phase dynamics beyond Bell-bound Arm2
storage_context,1.0,32768,0.093683293042,29.986584572102,29.986584572102,0.0,0.0,0.028503417969,0,,0.0,0.0,0.149458229409,0.149458229409,0.0,1.297734216668,1.297734216668,FALSE,no conservative sampled CHSH terrain feedback beyond Arm2
storage_context,0.75,32768,0.093683293042,29.986584572102,29.986584572102,0.0,0.508051156936,0.531127929688,0,,0.0,0.0,0.149458229409,0.149458229409,0.0,1.297734216668,1.297734216668,FALSE,no conservative sampled CHSH terrain feedback beyond Arm2
storage_context,0.5,32768,0.093683293042,29.986584572102,29.986584572102,0.0,1.016102313873,1.041137695312,0,,0.0,0.0,0.149458229409,0.149458229409,0.0,1.297734216668,1.297734216668,FALSE,no conservative sampled CHSH terrain feedback beyond Arm2
storage_context,0.25,32768,0.093683293042,29.986584572102,29.986584572102,0.0,1.524153470809,1.541076660156,0,,0.0,0.0,0.149458229409,0.149458229409,0.0,1.297734216668,1.297734216668,FALSE,no conservative sampled CHSH terrain feedback beyond Arm2
storage_context,0.0,32768,0.093683293042,29.986584572102,29.986584572102,0.0,2.032204627745,2.045837402344,0,,0.0,0.0,0.149458229409,0.149458229409,0.0,1.297734216668,1.297734216668,FALSE,no conservative sampled CHSH terrain feedback beyond Arm2
