gamma,gamma_over_pi,input_mode,dynamics,P_product_population,conversion_success,reservoir_fill,membrane_pass,release_population,pairwise_additive_prediction_P,synergy_residual_P,response_readout
0.0,0.0,coherent_input,baseline,0.0,0.0,0.0,0.0,0.0,,,diagonal_P111_population_after_local_H
0.0,0.0,coherent_input,pair_MC,0.0,0.0,0.0,0.0,0.0,,,diagonal_P111_population_after_local_H
0.0,0.0,coherent_input,pair_CR,0.0,0.0,0.0,0.0,0.0,,,diagonal_P111_population_after_local_H
0.0,0.0,coherent_input,pair_MR,0.0,0.0,0.0,0.0,0.0,,,diagonal_P111_population_after_local_H
0.0,0.0,coherent_input,pairwise_product,0.0,0.0,0.0,0.0,0.0,0.0,0.0,diagonal_P111_population_after_local_H
0.0,0.0,coherent_input,genuine_3body,0.0,0.0,0.0,0.0,0.0,0.0,0.0,diagonal_P111_population_after_local_H
0.0,0.0,dephased_input,baseline,0.125,0.25,0.5,0.5,0.1,,,diagonal_P111_population_after_local_H
0.0,0.0,dephased_input,pair_MC,0.125,0.25,0.5,0.5,0.1,,,diagonal_P111_population_after_local_H
0.0,0.0,dephased_input,pair_CR,0.125,0.25,0.5,0.5,0.1,,,diagonal_P111_population_after_local_H
0.0,0.0,dephased_input,pair_MR,0.125,0.25,0.5,0.5,0.1,,,diagonal_P111_population_after_local_H
0.0,0.0,dephased_input,pairwise_product,0.125,0.25,0.5,0.5,0.1,0.125,0.0,diagonal_P111_population_after_local_H
0.0,0.0,dephased_input,genuine_3body,0.125,0.25,0.5,0.5,0.1,0.125,0.0,diagonal_P111_population_after_local_H
0.392699081699,0.125,coherent_input,baseline,0.0,0.0,0.0,0.0,0.0,,,diagonal_P111_population_after_local_H
0.392699081699,0.125,coherent_input,pair_MC,0.0,0.0,0.0,0.146446609407,0.0,,,diagonal_P111_population_after_local_H
0.392699081699,0.125,coherent_input,pair_CR,0.0,0.146446609407,0.146446609407,0.0,0.0,,,diagonal_P111_population_after_local_H
0.392699081699,0.125,coherent_input,pair_MR,0.0,0.0,0.146446609407,0.146446609407,0.0,,,diagonal_P111_population_after_local_H
0.392699081699,0.125,coherent_input,pairwise_product,0.0,0.125,0.25,0.25,0.0,0.0,0.0,diagonal_P111_population_after_local_H
0.392699081699,0.125,coherent_input,genuine_3body,0.146446609407,0.146446609407,0.146446609407,0.146446609407,0.117157287525,0.0,0.146446609407,diagonal_P111_population_after_local_H
0.392699081699,0.125,dephased_input,baseline,0.125,0.25,0.5,0.5,0.1,,,diagonal_P111_population_after_local_H
0.392699081699,0.125,dephased_input,pair_MC,0.125,0.25,0.5,0.5,0.1,,,diagonal_P111_population_after_local_H
0.392699081699,0.125,dephased_input,pair_CR,0.125,0.25,0.5,0.5,0.1,,,diagonal_P111_population_after_local_H
0.392699081699,0.125,dephased_input,pair_MR,0.125,0.25,0.5,0.5,0.1,,,diagonal_P111_population_after_local_H
0.392699081699,0.125,dephased_input,pairwise_product,0.125,0.25,0.5,0.5,0.1,0.125,0.0,diagonal_P111_population_after_local_H
0.392699081699,0.125,dephased_input,genuine_3body,0.125,0.25,0.5,0.5,0.1,0.125,0.0,diagonal_P111_population_after_local_H
0.785398163397,0.25,coherent_input,baseline,0.0,0.0,0.0,0.0,0.0,,,diagonal_P111_population_after_local_H
0.785398163397,0.25,coherent_input,pair_MC,0.0,0.0,0.0,0.5,0.0,,,diagonal_P111_population_after_local_H
0.785398163397,0.25,coherent_input,pair_CR,0.0,0.5,0.5,0.0,0.0,,,diagonal_P111_population_after_local_H
0.785398163397,0.25,coherent_input,pair_MR,0.0,0.0,0.5,0.5,0.0,,,diagonal_P111_population_after_local_H
0.785398163397,0.25,coherent_input,pairwise_product,0.0,0.25,0.5,0.5,0.0,0.0,0.0,diagonal_P111_population_after_local_H
0.785398163397,0.25,coherent_input,genuine_3body,0.5,0.5,0.5,0.5,0.4,0.0,0.5,diagonal_P111_population_after_local_H
0.785398163397,0.25,dephased_input,baseline,0.125,0.25,0.5,0.5,0.1,,,diagonal_P111_population_after_local_H
0.785398163397,0.25,dephased_input,pair_MC,0.125,0.25,0.5,0.5,0.1,,,diagonal_P111_population_after_local_H
0.785398163397,0.25,dephased_input,pair_CR,0.125,0.25,0.5,0.5,0.1,,,diagonal_P111_population_after_local_H
0.785398163397,0.25,dephased_input,pair_MR,0.125,0.25,0.5,0.5,0.1,,,diagonal_P111_population_after_local_H
0.785398163397,0.25,dephased_input,pairwise_product,0.125,0.25,0.5,0.5,0.1,0.125,0.0,diagonal_P111_population_after_local_H
0.785398163397,0.25,dephased_input,genuine_3body,0.125,0.25,0.5,0.5,0.1,0.125,0.0,diagonal_P111_population_after_local_H
